"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","BinaryClassificationEvaluator.labelCol","BinaryClassificationEvaluator.metricName","BinaryClassificationEvaluator.numBins","BinaryClassificationEvaluator.rawPredictionCol","GBTClassifier.cacheNodeIds","GBTClassifier.checkpointInterval","GBTClassifier.featureSubsetStrategy","GBTClassifier.featuresCol","GBTClassifier.impurity","GBTClassifier.labelCol","GBTClassifier.leafCol","GBTClassifier.lossType","GBTClassifier.maxBins","GBTClassifier.maxDepth","GBTClassifier.maxIter","GBTClassifier.maxMemoryInMB","GBTClassifier.minInfoGain","GBTClassifier.minInstancesPerNode","GBTClassifier.minWeightFractionPerNode","GBTClassifier.predictionCol","GBTClassifier.probabilityCol","GBTClassifier.rawPredictionCol","GBTClassifier.seed","GBTClassifier.stepSize","GBTClassifier.subsamplingRate","GBTClassifier.validationTol","LogisticRegression.aggregationDepth","LogisticRegression.elasticNetParam","LogisticRegression.family","LogisticRegression.featuresCol","LogisticRegression.fitIntercept","LogisticRegression.labelCol","LogisticRegression.maxBlockSizeInMB","LogisticRegression.maxIter","LogisticRegression.predictionCol","LogisticRegression.probabilityCol","LogisticRegression.rawPredictionCol","LogisticRegression.regParam","LogisticRegression.standardization","LogisticRegression.threshold","LogisticRegression.tol","RandomForestClassifier.bootstrap","RandomForestClassifier.cacheNodeIds","RandomForestClassifier.checkpointInterval","RandomForestClassifier.featureSubsetStrategy","RandomForestClassifier.featuresCol","RandomForestClassifier.impurity","RandomForestClassifier.labelCol","RandomForestClassifier.leafCol","RandomForestClassifier.maxBins","RandomForestClassifier.maxDepth","RandomForestClassifier.maxMemoryInMB","RandomForestClassifier.minInfoGain","RandomForestClassifier.minInstancesPerNode","RandomForestClassifier.minWeightFractionPerNode","RandomForestClassifier.numTrees","RandomForestClassifier.predictionCol","RandomForestClassifier.probabilityCol","RandomForestClassifier.rawPredictionCol","RandomForestClassifier.seed","RandomForestClassifier.subsamplingRate","VectorAssembler.handleInvalid","VectorAssembler.inputCols","VectorAssembler.outputCol","best_RandomForestClassifier.impurity","best_RandomForestClassifier.maxDepth","best_RandomForestClassifier.numTrees","collectSubModels","estimator","evaluator","foldCol","maxDepth","maxIter","numFolds","numTrees","parallelism","regParam","seed","stages","accuracy_test_data","areaUnderPR_test_data","areaUnderROC-2_test_data","areaUnderROC_test_data","auc","avg_areaUnderROC","f1_test_data","precision","recall","std_areaUnderROC","sparkDatasourceInfo","estimator_class","estimator_name"
"2025-03-02 16:27:18","55.4s","4a2477dc103e4972898f5f2bba65b31f","GBTClassifier","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FINISHED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","10","","","","","","","","","","","0.64","","","0.5833333333333334","0.28","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","",""
"2025-03-02 16:26:36","41.8s","2d698c914a1a43079f2c0958704a68fb","LogisticRegression","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FINISHED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","","0.5817647058823532","","","0.7","0.14","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","",""
"2025-03-02 16:25:54","41.7s","da2f446ad697446199a043d59fbede52","RandomForest","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FINISHED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","100","","","","","","","","","0.5835294117647057","","","0.4","0.04","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","",""
"2025-03-02 16:23:55","55.4s","d993e79f7e7b49a09faaa2e9f5759c60","GBTClassifier","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FINISHED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","10","","","","","","","","","","","0.64","","","0.5833333333333334","0.28","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","",""
"2025-03-02 16:23:13","42.0s","18a159ce94684c9f8c22233862b7f938","LogisticRegression","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FINISHED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","","0.5817647058823532","","","0.7","0.14","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","",""
"2025-03-02 16:22:30","42.9s","315e73735c594d36a7b763adefa2b15b","RandomForest","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FINISHED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","100","","","","","","","","","0.5835294117647057","","","0.4","0.04","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","",""
"2025-03-02 16:19:11","4.2s","06eeb6792ed546b7b3f8951cf10ebc56","RandomForest","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FAILED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","100","","","","","","","","","","","","","","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","",""
"2025-03-02 16:18:12","5.3s","90e8380211b946268ee189622bac57e4","RandomForest","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FAILED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","100","","","","","","","","","","","","","","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","",""
"2025-03-02 15:42:43","3.7min","07226ad14bb24212a100beac3c3e98d2","stylish-penguin-703","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FINISHED","AtRisk","areaUnderROC","1000","rawPrediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gini","5","100","False","Pipeline","BinaryClassificationEvaluator","","","","3","","4","","7809051150349531440","","0.5827338129496403","0.5332849214646905","0.5662042875157629","0.5662042875157629","","","0.4799075025693731","","","","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","pyspark.ml.tuning.CrossValidator","CrossValidator"
"2025-03-02 15:42:43","2.3min","310d2a0359174245940a20f4dbe79999","kindly-shrew-924","NOTEBOOK","/Users/w.khan_19822@khi.iba.edu.pk/music_therapy/Group Project final","w.khan_19822@khi.iba.edu.pk","FINISHED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","False","10","auto","features","gini","AtRisk","","32","5","256","0.0","1","0.0","100","prediction","probability","rawPrediction","42","1.0","error","['Age', 'Hours per day', 'BPM', 'Genre_Diversity', 'Genre_Contrast', 'Frequency [Classical]_numeric', 'Frequency [Country]_numeric', 'Frequency [EDM]_numeric', 'Frequency [Folk]_numeric', 'Frequency [Gospel]_numeric', 'Frequency [Hip hop]_numeric', 'Frequency [Jazz]_numeric', 'Frequency [K pop]_numeric', 'Frequency [Latin]_numeric', 'Frequency [Lofi]_numeric', 'Frequency [Metal]_numeric', 'Frequency [Pop]_numeric', 'Frequency [R&B]_numeric', 'Frequency [Rap]_numeric', 'Frequency [Rock]_numeric', 'Frequency [Video game music]_numeric', 'Music_Effect_Score']","features","","","","","","","","","","","","","","","['VectorAssembler', 'RandomForestClassifier']","","","","","","0.5531947104068021","","","","0.00850713932326233","path=dbfs:/FileStore/music/mxmh_survey_results.csv,format=csv","pyspark.ml.pipeline.Pipeline","Pipeline"
